provinces,xcor,ycor
Albacete,104.0,-61.0
Alicante/Alacant,185.0,-94.0
Almería,85.0,-195.0
Araba/Álava,53.0,270.0
Asturias,-161.0,307.0
Ávila,-81.0,71.0
Badajoz,-163.0,-90.0
"Balears, Illes",415.0,4.0
Barcelona,347.0,164.0
Bizkaia,51.0,303.0
Burgos,1.0,222.0
Cáceres,-164.0,8.0
Cádiz,-138.0,-247.0
Cantabria,-31.0,298.0
Castellón/Castelló,212.0,46.0
Ciudad Real,-13.0,-57.0
Córdoba,-77.0,-132.0
"Coruña, A",-315.0,279.0
Cuenca,88.0,21.0
Gipuzkoa,86.0,287.0
Girona,404.0,203.0
Granada,-1.0,-195.0
Guadalajara,55.0,95.0
Huelva,-204.0,-170.0
Huesca,218.0,199.0
Jaén,0.0,-133.0
León,-143.0,244.0
Lleida,292.0,186.0
Lugo,-234.0,272.0
Madrid,-7.0,69.0
Málaga,-70.0,-226.0
Murcia,133.0,-137.0
Navarra,109.0,254.0
Ourense,-248.0,205.0
Palencia,-61.0,215.0
"Palmas, Las",-303.0,-330.0
Pontevedra,-303.0,239.0
"Rioja, La",60.0,217.0
Salamanca,-160.0,96.0
Santa Cruz de Tenerife,-445.0,-304.0
Segovia,-27.0,121.0
Sevilla,-131.0,-181.0
Soria,56.0,158.0
Tarragona,264.0,116.0
Teruel,165.0,81.0
Toledo,-42.0,15.0
Valencia/València,174.0,-32.0
Valladolid,-74.0,155.0
Zamora,-137.0,165.0
Zaragoza,153.0,152.0
Ceuta,-96.0,-288.0
Melilla,54.0,-323.0
